ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
870,7/5采购皮克斯37周年收藏卡,杭州奥斯卡,Pixar皮克斯37周年收藏卡,12160000,12160000,0,2025-07-05
869,7/5采购米奇纪念版收藏卡“奇”遇记（20元包）,杭州奥斯卡,Mickey米奇纪念版收藏卡“奇”遇记（20元包）,9120000,9120000,0,2025-07-05
868,7/5采购迪士尼群星运动会（2元包）,杭州奥斯卡,Disney all star迪士尼群星运动会,18240000,18240000,0,2025-07-05
867,,,,0,11195712,0,2025-06-23
866,6/23采购卡宝七龙珠第一弹,江西小精灵,Songoku卡宝七龙珠第一弹,11381760,11381760,0,2025-06-23
865,6/23采购蜡笔小新派对包第2弹,江西小精灵,Shinchan2蜡笔小新派对包第2弹,11195712,11195712,0,2025-06-23
864,6/22采购迪士尼群星运动会（2元包）,杭州奥斯卡,Disney all star迪士尼群星运动会,7296000,7296000,0,2025-06-22
863,6/19采购集卡社迪士尼100周年,杭州奥斯卡,Disney100集卡社迪士尼100周年,13680000,13680000,0,2025-06-19
862,6/15采购小马宝莉彩虹3弹（5元包）,江西小精灵,Pony小马宝莉彩虹3弹（5元包）,16793568,16793568,0,2025-06-15
861,5/1采购迪士尼欢乐盛典收藏卡,集卡社,Disney L? H?i迪士尼欢乐盛典收藏卡,6384000,6384000,0,2025-05-01
860,5/1采购集卡社迪士尼100周年,集卡社,Disney100集卡社迪士尼100周年,9576000,9576000,0,2025-05-01
859,5/1采购皮克斯37周年收藏卡,集卡社,Pixar皮克斯37周年收藏卡,7113600,7113600,0,2025-05-01
858,5/1采购白日臆想闪烁之路（第1弹）,集卡社,B??m1白日臆想闪烁之路（第1弹）,3496000,3496000,0,2025-05-01
857,5/1采购白日臆想三周年蝴蝶卡（第3弹）,集卡社,B??m3白日臆想三周年蝴蝶卡（第3弹）,3496000,3496000,0,2025-05-01
856,5/1采购集卡社迪士尼100周年,集卡社,Disney100集卡社迪士尼100周年,9576000,9576000,0,2025-05-01
855,4/15采购集卡社星球大战第2弹,集卡社,Starwar集卡社星球大战第2弹,9576000,9576000,0,2025-04-15
854,4/15采购迪士尼欢乐盛典收藏卡,集卡社,Disney L? H?i迪士尼欢乐盛典收藏卡,6384000,6384000,0,2025-04-15
853,4/15采购集卡社迪士尼100周年,集卡社,Disney100集卡社迪士尼100周年,9576000,9576000,0,2025-04-15
852,4/15采购皮克斯37周年收藏卡,集卡社,Pixar皮克斯37周年收藏卡,12448800,12448800,0,2025-04-15
849,魔都文创 忍创纪元 火影忍者终极色纸,咸鱼,Naruto B?n ??c Bi?t魔都文创 忍创纪元 火影忍者终极色纸,3648000,0,3648000,2025-09-14
847,柯研社柯南色纸,咸鱼,conan phiên b?n mùa hè柯研社柯南色纸,10070000,0,10070000,2025-09-11
846,鬼灭水晶砖定制,咸鱼,KYN phong th? vu?ng鬼灭水晶砖定制,114000000,0,114000000,2025-09-11
845,澳卡鬼灭色纸第2弹,咸鱼,Di?t qu? phong th? ?en V2+ ( ch?a lên link )澳卡鬼灭色纸第2弹,31832600,0,31832600,2025-09-11
844,Di?t Qu? Hu?n Luy?n Tr? C?t,咸鱼,Di?t Qu? Hu?n Luy?n Tr? C?t鬼滅之刃龍年典藏-柱稽古篇,23940000,0,23940000,2025-09-10
841,0901德卡灌篮高手,咸鱼,Slam Dunk德卡灌篮高手,3032400,0,3032400,2025-09-01
840,0901守护甜心【酷酷文创×守护甜心】,咸鱼,Shugo Chara守护甜心【酷酷文创×守护甜心】集换式收藏卡牌,9538000,0,9538000,2025-09-01
839,0901排球少年,咸鱼,FLY HIGHMC铭卡【排球少年 FLY HIGH】,6840000,0,6840000,2025-09-01
838,0823,咸鱼,C?u bé b?t bi?n趣玩卡海绵宝宝,4180000,0,4180000,2025-08-23
837,0823欧卡足球小将 世界杯版,咸鱼,Captian Tsubasa欧卡足球小将 世界杯版,0,0,0,2025-08-23
836,8/13采购无限城篇，决战到黎明之前吧唧,咸鱼,Di?t Qu? b?n Huy Hi?u无限城篇，决战到黎明之前吧唧,4522000,4522000,0,2025-08-13
834,8/13采购【YIYI 卡社】鬼灭之刃第一弹《战斗的瞬间！》典藏卡,咸鱼,Di?t Qu? B?n M? R?ng【YIYI 卡社】鬼灭之刃第一弹《战斗的瞬间！》典藏卡,6574000,6574000,0,2025-08-13
833,8/13采购匠卡名侦探柯南第六弹名侦探的礼赠,咸鱼,Conan New Box匠卡名侦探柯南第六弹名侦探的礼赠,6840000,6840000,0,2025-08-13
